#Parameters = {a=20; d=2000; fl=88.5; fw=58; gh=15; inl=50; inw=3.625; mt=15; pl=223; pw=306; sh=90; sl=400; sw=460; uf=0.8}
#"Frequency / THz"	"Gain (IEEE),3D,Max. Value (Solid Angle) (inl=50) [Real Part]"
#--------------------------------------------------------------------------------
0.10000000000000	-0.33816284829837
0.19900000000000	8.7117793173085
0.29800000000000	9.1710514562446
0.39700000000000	9.7918440834171
0.49600000000000	9.0719698850829
0.59500000000000	8.1320166865933
0.69400000000000	9.2070837723782
0.79300000000000	9.6296375095388
0.89200000000000	10.592782539791
0.99100000000000	10.974747420071
